DATABASE;NAME;EQUATION;CODE;MAIN EQUATION;ENZYME;PATHWAY;KEGG MAPS;REVERSIBILITY;DELTAG;DELTAGERR;KEGGID;ARGONNEID;MODELID;MODELS
rxn00012;Sucrose:sucrose 1F-beta-D-fructosyltransferase;(2) cpd00076 <=> cpd00027 + cpd02298;(2) cpd00076 <=> cpd00027 + cpd02298;2 cpd00076 <=> cpd00027 + cpd02298;2.4.1.99;;;<=>;0;2;R00015;rxn00012;R00015;All:R00015
rxn00013;D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase|glucose-1-phosphate phosphodismutase;(2) cpd00089 <=> cpd00027 + cpd00499;(2) cpd00089 <=> cpd00027 + cpd00499;2 cpd00089 <=> cpd00027 + cpd00499;2.7.1.41;Carbohydrates and related molecules;;<=>;0;2;R00016;rxn00013;R00016|G1PPDM|rbs_18;All:R00016|All:G1PPDM|All:rbs_18|iAG612:rbs_18|iYO844:G1PPDM
rxn00014;Ferrocytochrome-c:hydrogen-peroxide oxidoreductase|CCP|Cytochromecperoxidase;cpd00025 + (2) cpd00067 + (2) cpd00110 <=> (2) cpd00001 + (2) cpd00109;cpd00025 + (2) cpd00110 <=> (2) cpd00001 + (2) cpd00109;cpd00025;1.11.1.5;;;<=>;1e+07;1e+07;R00017;rxn00014|rxn11021;R00017|rxn11021|CCP|CCP2m;All:R00017|All:rxn11021|All:CCP|iIT341:CCP|iMM904:CCP2m
rxn00015;Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)|Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)|homospermidine synthase;(2) cpd00118 <=> cpd00013 + cpd03802;(2) cpd00118 <=> cpd00013 + cpd03802;2 cpd00118 <=> cpd03802;2.5.1.44;Alkaloid biosynthesis II|Alkaloid biosynthesis II|Central Metabolism|rn00960;00960;<=>;-0.52;1.10166;R00018;rxn00015;HSPMS|R00018;All:HSPMS|All:R00018|iAF692:HSPMS
rxn00016;Hexosaminidase;cpd00001 + cpd01157 <=> (2) cpd00122;cpd00001 + cpd01157 <=> (2) cpd00122;cpd01157 <=> 2 cpd00122;3.2.1.52;Aminosugars metabolism|Cell wall|rn00530;00530;<=>;-3.113;0.692797;R00022;rxn00016;R00022|HXAD;All:R00022|All:HXAD|iSO783:HXAD|iYO844:HXAD
rxn00017;NADH:hyponitrite oxidoreductase;(2) cpd00003 + (2) cpd00165 <=> (2) cpd00004 + (2) cpd00067 + cpd01252;(2) cpd00003 + (2) cpd00165 <=> (2) cpd00004 + cpd01252;2 cpd00165 <=> cpd01252;1.7.1.5;;;<=;18.4708;6.85004;R00023;rxn00017;R00023;All:R00023
rxn00018;D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)|D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)|ribulose-bisphosphate carboxylase;cpd00001 + cpd00011 + cpd00871 <=> (2) cpd00067 + (2) cpd00169;cpd00001 + cpd00011 + cpd00871 <=> (2) cpd00169;cpd00871 <=> 2 cpd00169;4.1.1.39;Carbon fixation|Carbon fixation|Central Metabolism|rn00710;00710;<=>;-7.913;0.762682;R00024;rxn00018;R00024|RBPC;All:R00024|All:RBPC|iAF692:RBPC
rxn00019;2-Nitropropane:oxygen 2-oxidoreductase;cpd00007 + (2) cpd01433 <=> (2) cpd00067 + (2) cpd00075 + (2) cpd00178;cpd00007 + (2) cpd01433 <=> (2) cpd00075 + (2) cpd00178;cpd00007 + 2 cpd01433 <=> 2 cpd00075 + 2 cpd00178;1.13.11.32;Nitrogen metabolism|rn00910;00910;<=>;1e+07;1e+07;R00025;rxn00019;R00025;All:R00025
rxn00020;beta-D-Glucoside glucohydrolase|beta-glucosidase A|beta-glucosidase A ;cpd00001 + cpd00158 <=> (2) cpd00190;cpd00001 + cpd00158 <=> (2) cpd00190;cpd00158 <=> 2 cpd00190;3.2.1.21;Starch and sucrose metabolism|rn00500;00500;<=>;-3.113;0.692797;R00026;rxn00020;R00026|rll_74;All:R00026|All:rll_74|iAO358:rll_74
rxn00021;2-Hydroxy-1,2-diphenylethanone benzaldehyde-lyase;cpd01008 <=> (2) cpd00225;cpd01008 <=> (2) cpd00225;cpd01008 <=> 2 cpd00225;4.1.2.38;;;<=>;2.47;0.486692;R00027;rxn00021;R00027;All:R00027
rxn00022;alpha-D-Glucoside glucohydrolase|alpha-glucosidase;cpd00001 + cpd00179 <=> (2) cpd00027;cpd00001 + cpd00179 <=> (2) cpd00027;cpd00179 <=> 2 cpd00027;3.2.1.20;Starch and sucrose metabolism|Galactose metabolism|Carbohydrates and related molecules|Starch and sucrose metabolism|Sugar Metabolism|rn00500;00500;<=>;-3.113;0.692797;R00028;rxn00022|rxn09485|rxn11138;rxn11138|rxn09485|rll_13|rbs_447|rbs_449|R00028|MALT|rbs_448|YJL216C|MAL12|YIL172C|YGR287C|FSP2_1|MAL32;All:rxn11138|All:rxn09485|All:rll_13|All:rbs_447|All:rbs_449|All:R00028|All:MALT|All:rbs_448|iAG612:rbs_448|iAG612:rbs_449|iAG612:rbs_447|iAO358:rll_13|iIN800:YJL216C|iIN800:MAL12|iIN800:YIL172C|iIN800:YGR287C|iIN800:FSP2_1|iIN800:MAL32|iMEO21:MALT|iMM904:MALT|iND750:MALT|iNJ661:MALT|iSB619:MALT|iYO844:MALT
rxn00023;Thiosulfate:ferricytochrome-c oxidoreductase;(2) cpd00109 + (2) cpd00268 <=> (2) cpd00110 + cpd01414;(2) cpd00109 + (2) cpd00268 <=> (2) cpd00110 + cpd01414;2 cpd00268 <=> cpd01414;1.8.2.2;;;<=>;1e+07;1e+07;R00029;rxn00023;R00029;All:R00029
rxn00024;1,2-Benzenediol:oxygen oxidoreductase;cpd00007 + (2) cpd00069 <=> (2) cpd00291;cpd00007 + (2) cpd00069 <=> (2) cpd00291;cpd00007 + 2 cpd00069 <=> 2 cpd00291;1.10.3.1;Tyrosine metabolism|rn00350;00350;=>;-82.8797;0.886587;R00031;rxn00024;R00031;All:R00031
rxn00025;beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving);cpd00007 + cpd01420 <=> (2) cpd00304;cpd00007 + cpd01420 <=> (2) cpd00304;cpd00007 + cpd01420 <=> 2 cpd00304;1.14.99.36;Retinol metabolism|rn00830;00830;=>;-87.4597;1.50755;R00032;rxn00025;R00032;All:R00032
rxn00026;Thiamin:oxygen 5-oxidoreductase;cpd00007 + cpd00305 <=> cpd00025 + cpd03484;cpd00007 + cpd00305 <=> cpd00025 + cpd03484;cpd00007 + cpd00305 <=> cpd00025 + cpd03484;1.1.3.23;Thiamine metabolism|rn00730;00730;=>;-26.4897;0.741944;R00033;rxn00026;R00033;All:R00033
rxn00027;Cyclobutadipyrimidine (in DNA) pyrimidine-lyase;cpd01990 <=> (2) cpd00067 + (2) cpd05167;cpd01990 <=> (2) cpd05167;cpd01990 <=> 2 cpd05167;4.1.99.3;;;<=>;0.74;4.53419;R00034;rxn00027;R00034;All:R00034
rxn00028;L-Ascorbate:oxygen oxidoreductase|L-ascorbate:oxygen oxidoreductase;cpd00007 + (2) cpd00059 + (2) cpd00067 <=> (2) cpd00001 + (2) cpd00335;cpd00007 + (2) cpd00059 <=> (2) cpd00001 + (2) cpd00335;cpd00007 + 2 cpd00059 <=> 2 cpd00335;1.10.3.3;Ascorbate and aldarate metabolism|rn00053;00053;=>;-103.894;3.00501;R00068;rxn00028|rxn00049;rxn00049|R00068;All:rxn00049|All:R00068
rxn00029;5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and|cyclizing)|porphobilinogen synthase|cyclizing)|PPBNGS|porphobilinogensynthase| cyclizing);(2) cpd00338 <=> (2) cpd00001 + cpd00067 + cpd00689;(2) cpd00338 <=> (2) cpd00001 + cpd00689;2 cpd00338 <=> cpd00689;4.2.1.24;Porphyrin and chlorophyll metabolism|Cofactor and Prosthetic Group Biosynthesis|Porphyrin and Chlorophyll Metabolism|Coenzymes and prosthetic groups|Porphyrin and chlorophyll metabolism|Vitamins & Cofactor Biosynthesis|Porphyrin Metabolism|Heme / siroheme biosynthesis|rn00860;00860;=>;-15.304;1.69176;R00036;rxn00029;PORPHOBILSYNTH-RXN|R00036|PPBNGS|HEM2;All:PORPHOBILSYNTH-RXN|All:R00036|All:PPBNGS|iAbaylyiv4:PORPHOBILSYNTH-RXN|iAF1260:PPBNGS|iAF692:PPBNGS|iIN800:HEM2|iIT341:PPBNGS|iJN746:PPBNGS|iJR904:PPBNGS|iMEO21:PPBNGS|iMM904:PPBNGS|iND750:PPBNGS|iNJ661:PPBNGS|iSB619:PPBNGS|iSO783:PPBNGS|iYO844:PPBNGS
rxn00030;4-Hydroxy-3-hexanone propanal-lyase;(2) cpd00371 <=> cpd01891;(2) cpd00371 <=> cpd01891;2 cpd00371 <=> cpd01891;4.1.2.35;;;<=>;-4.02;0.423402;R00038;rxn00030;R00038;All:R00038
rxn00031;Raffinose:raffinose alpha-D-galactosyltransferase;(2) cpd00382 <=> cpd00076 + cpd02464;(2) cpd00382 <=> cpd00076 + cpd02464;2 cpd00382 <=> cpd00076 + cpd02464;2.4.1.166;;;<=>;0;2;R00039;rxn00031;R00039;All:R00039
rxn00032;Choline:oxygen 1-oxidoreductase;cpd00007 + (2) cpd00098 <=> (2) cpd00001 + (2) cpd00447;cpd00007 + (2) cpd00098 <=> (2) cpd00001 + (2) cpd00447;cpd00007 + 2 cpd00098 => 2 cpd00447;1.1.3.17;Glycine, serine and threonine metabolism;;=>;-98.3337;1.20496;;rxn00032;;
rxn00033;4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating);cpd00007 + (2) cpd00868 <=> (2) cpd00011 + (2) cpd00489;cpd00007 + (2) cpd00868 <=> (2) cpd00011 + (2) cpd00489;cpd00007 + 2 cpd00868 <=> 2 cpd00489;1.2.3.13|1.2.3.-;Tyrosine metabolism|rn00350;00350;=>;-136.56;1.23027;R00042;rxn00033;R00042;All:R00042
rxn00034;1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase|(alpha-beta-bond-cleaving)| (alpha-beta-bond-cleaving);cpd00007 + cpd02768 <=> (2) cpd00561;cpd00007 + cpd02768 <=> (2) cpd00561;cpd00007 + cpd02768 <=> 2 cpd00561;1.13.11.43;;;=>;-83.7797;1.2347;R00043;rxn00034;R00043;All:R00043
rxn00035;Columbamine:oxygen oxidoreductase (cyclizing);cpd00007 + (2) cpd01238 <=> (2) cpd00001 + (2) cpd00563;cpd00007 + (2) cpd01238 <=> (2) cpd00001 + (2) cpd00563;cpd00007 + 2 cpd01238 <=> 2 cpd00563;1.21.3.2;Alkaloid biosynthesis I|rn00950;00950;=>;-121.354;4.76983;R00044;rxn00035;R00044;All:R00044
rxn00036;1,2-Benzenediol:oxygen oxidoreductase;cpd00007 + (2) cpd00291 <=> (2) cpd00001 + (2) cpd00612;cpd00007 + (2) cpd00291 <=> (2) cpd00001 + (2) cpd00612;cpd00007 + 2 cpd00291 <=> 2 cpd00612;1.10.3.1;Tyrosine metabolism|rn00350;00350;=>;-79.7337;3.53462;R00045;rxn00036;R00045;All:R00045
rxn00037;6-Hydroxynicotinate, hydrogen-donor:oxygen oxidoreductase|(5-hydroxylating)| (5-hydroxylating);cpd00007 + (2) cpd00067 + (2) cpd00752 <=> (2) cpd00011 + (2) cpd00778;cpd00007 + (2) cpd00752 <=> (2) cpd00011 + (2) cpd00778;cpd00007 + 2 cpd00752 <=> 2 cpd00778;1.14.99.-;Nicotinate and nicotinamide metabolism|rn00760;00760;=>;-83.0797;1.26222;R00047;rxn00037;R00047;All:R00047
rxn00038;(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase;cpd00001 + cpd02767 <=> cpd00067 + (2) cpd00797;cpd00001 + cpd02767 <=> (2) cpd00797;cpd02767 <=> 2 cpd00797;3.1.1.22;Butanoate metabolism|rn00650;00650;<=>;-2.143;0.675486;R00048;rxn00038;R00048;All:R00048
rxn00039;1-O-Galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose|O-galloyltransferase| O-galloyltransferase;(2) cpd00852 <=> cpd00027 + cpd02532;(2) cpd00852 <=> cpd00027 + cpd02532;2 cpd00852 <=> cpd00027 + cpd02532;2.3.1.90;;;<=>;0;2;R00049;rxn00039;R00049;All:R00049
rxn00040;Tannin acylhydrolase;cpd00001 + cpd01108 <=> cpd00067 + (2) cpd01020;cpd00001 + cpd01108 <=> (2) cpd01020;cpd01108 <=> 2 cpd01020;3.1.1.20;;;<=>;-2.143;0.675486;R00053;rxn00040;R00053;All:R00053
rxn00041;Orsellinate-depside hydrolase;cpd00001 + cpd01843 <=> cpd00067 + (2) cpd01265;cpd00001 + cpd01843 <=> (2) cpd01265;cpd01843 <=> 2 cpd01265;3.1.1.40;;;<=>;-2.143;0.675486;R00054;rxn00041;R00054;All:R00054
rxn00042;Nucleoside:oxygen 5'-oxidoreductase;cpd00007 + (2) cpd00246 <=> (2) cpd00001 + (2) cpd01365;cpd00007 + (2) cpd00246 <=> (2) cpd00001 + (2) cpd01365;cpd00007 + 2 cpd00246 <=> 2 cpd01365;1.1.3.28;;;=>;-98.3337;1.20496;R00055;rxn00042;R00055;All:R00055
rxn00043;1,2-Benzenediol:oxygen oxidoreductase;cpd00007 + (2) cpd00077 <=> (2) cpd00001 + (2) cpd01569;cpd00007 + (2) cpd00077 <=> (2) cpd00001 + (2) cpd01569;cpd00007 + 2 cpd00077 <=> 2 cpd01569;1.10.3.1;;;=>;-82.1737;3.60255;R00058;rxn00043;R00058;All:R00058
rxn00044;N-(6-Aminohexanoyl)-6-aminohexanoate amidohydrolase|N-(6-Aminohexanoyl)-6-aminohexanoate amidohydrolase|6-aminohexanoate-dimer hydrolase;cpd00001 + cpd00921 <=> (2) cpd01588;cpd00001 + cpd00921 <=> (2) cpd01588;cpd00921 <=> 2 cpd01588;3.5.1.46;Other;;<=>;-0.463;0.848213;R00059;rxn00044;AHXDH|R00059;All:AHXDH|All:R00059|iAF692:AHXDH
rxn00045;Bilirubin-glucuronoside:bilirubin-glucuronoside|D-glucuronosyltransferase| D-glucuronosyltransferase;(2) cpd02141 <=> cpd00376 + cpd03428;(2) cpd02141 <=> cpd00376 + cpd03428;2 cpd02141 <=> cpd00376 + cpd03428;2.4.1.95;;;<=>;0;2;R00062;rxn00045;R00062;All:R00062
rxn00046;1-O-(4-Hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-|hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside| hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside;(2) cpd00865 <=> cpd00027 + cpd02622;(2) cpd00865 <=> cpd00027 + cpd02622;2 cpd00865 <=> cpd00027 + cpd02622;2.3.1.103;;;<=>;0;2;R00063;rxn00046;R00063;All:R00063
rxn00047;4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate lyase;cpd02883 <=> (2) cpd02508;cpd02883 <=> (2) cpd02508;cpd02883 <=> 2 cpd02508;4.2.2.6;;;=>;-8.55;2.73382;R00064;rxn00047;R00064;All:R00064
rxn00048;6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)|lumazine 2,3-butanediyltransferase|riboflavin synthase|lumazine 2,3-butanediyltransferase|RBFSb|riboflavin synthase beta chain|riboflavinsynthase| lumazine 2,3-butanediyltransferase|riboflavin synthase beta chain ;(2) cpd02656 <=> cpd00220 + cpd02882;(2) cpd02656 <=> cpd00220 + cpd02882;2 cpd02656 <=> cpd00220 + cpd02882;2.5.1.9;Riboflavin metabolism|Cofactor and Prosthetic Group Biosynthesis|Riboflavin Metabolism|Coenzymes and prosthetic groups|Riboflavin metabolism|Vitamins & Cofactor Biosynthesis|FMN / FAD biosynthesis|rn00740;00740;=>;-51.05;2.98689;R00066;rxn00048;RIBOFLAVIN-SYN-RXN|rll_399|RBFSb|R00066;All:RIBOFLAVIN-SYN-RXN|All:rll_399|All:RBFSb|All:R00066|iAbaylyiv4:RIBOFLAVIN-SYN-RXN|iAF1260:RBFSb|iAF692:RBFSb|iAO358:rll_399|iIT341:RBFSb|iJN746:RBFSb|iJR904:RBFSb|iMEO21:RBFSb|iMM904:RBFSb|iND750:RBFSb|iNJ661:RBFSb|iSB619:RBFSb|iSO783:RBFSb|iYO844:RBFSb
rxn00050;;(2) cpd03299 <=> cpd00007 + (2) cpd02311;(2) cpd03299 <=> cpd00007 + (2) cpd02311;2 cpd03299 <=> cpd00007 + 2 cpd02311;1.14.13.-;Histidine metabolism|rn00340;00340;<=;134.22;2.30498;R00069;rxn00050;R00069;All:R00069
rxn00051;;cpd00007 + (2) cpd03431 <=> (2) cpd00001 + (2) cpd03434;cpd00007 + (2) cpd03431 <=> (2) cpd00001 + (2) cpd03434;cpd00007 + 2 cpd03431 <=> 2 cpd03434;;Porphyrin and chlorophyll metabolism|rn00860;00860;=>;-84.1137;5.30316;R00070;rxn00051;R00070;All:R00070
rxn00052;Thiamin:oxygen 5-oxidoreductase;cpd00001 + cpd00007 + cpd03484 <=> cpd00025 + cpd00067 + cpd01852;cpd00001 + cpd00007 + cpd03484 <=> cpd00025 + cpd01852;cpd00007 + cpd03484 <=> cpd00025 + cpd01852;1.1.3.23;Thiamine metabolism|rn00730;00730;=>;-41.5127;0.888379;R00072;rxn00052;R00072;All:R00072
rxn00053;Prostaglandin H2:oxygen oxidoreductase;cpd00007 + (2) cpd00336 <=> (2) cpd03545;cpd00007 + (2) cpd00336 <=> (2) cpd03545;cpd00007 + 2 cpd00336 <=> 2 cpd03545;1.14.99.1;Arachidonic acid metabolism|rn00590;00590;=>;-50.3197;0.957004;R00073;rxn00053;R00073;All:R00073
rxn00054;2-Aminophenol:oxygen oxidoreductase;(3) cpd00007 + (4) cpd01360 <=> (6) cpd00001 + (2) cpd01462;(3) cpd00007 + (4) cpd01360 <=> (6) cpd00001 + (2) cpd01462;3 cpd00007 + 4 cpd01360 <=> 2 cpd01462;1.10.3.4;Tryptophan metabolism|rn00380;00380;=>;-286.301;7.35181;R00074;rxn00054;R00074;All:R00074
rxn00055;S-adenosyl-L-methionine:S-adenosyl-L-methionine|3-amino-3-carboxypropyltransferase| 3-amino-3-carboxypropyltransferase;(3) cpd00017 <=> (4) cpd00067 + (3) cpd00147 + cpd03158;(3) cpd00017 <=> (3) cpd00147 + cpd03158;3 cpd00017 <=> 3 cpd00147 + cpd03158;2.5.1.43;;;=>;-34.08;6.66635;R00075;rxn00055;R00075;All:R00075
rxn00056;Fe(II):oxygen oxidoreductase|ferroxidase;cpd00007 + (4) cpd00067 + (4) cpd10515 <=> (2) cpd00001 + (4) cpd10516;cpd00007 + (4) cpd10515 <=> (2) cpd00001 + (4) cpd10516;cpd00007 + 4 cpd10515 <=> 4 cpd10516;1.16.3.1;Porphyrin and chlorophyll metabolism|Inorganic Ion Transport and Metabolism|rn00860;00860;<=>;-8.1737;3.04138;R00078;rxn00056;R00078|FEROpp;All:R00078|All:FEROpp|iAF1260:FEROpp
rxn00057;Catechol:oxygen oxidoreductase (dimerizing);(3) cpd00007 + (4) cpd00077 <=> (6) cpd00001 + (2) cpd02409;(3) cpd00007 + (4) cpd00077 <=> (6) cpd00001 + (2) cpd02409;3 cpd00007 + 4 cpd00077 <=> 2 cpd02409;1.1.3.14;;;=>;-264.921;7.47911;R00080;rxn00057;R00080;All:R00080
rxn00058;Ferrocytochrome-c:oxygen oxidoreductase;cpd00007 + (4) cpd00067 + (4) cpd00110 <=> (2) cpd00001 + (4) cpd00109;cpd00007 + (4) cpd00110 <=> (2) cpd00001 + (4) cpd00109;cpd00007;1.9.3.1;;;<=>;1e+07;1e+07;R00081;rxn00058;R00081;All:R00081
