DATABASE;NAME;EQUATION;CODE;MAIN EQUATION;ENZYME;PATHWAY;KEGG MAPS;REVERSIBILITY;DELTAG;DELTAGERR;KEGGID;ARGONNEID;MODELID;MODELS
rxn00001;Pyrophosphate phosphohydrolase|inorganic diphosphatase|inorganic diphosphatase, mitochondrial|Pyrophosphate phosphohydrolase|PPA|inorganic diphosphatase (one proton translocation)|inorganicdiphosphatase|inorganic pyrophosphatase;cpd00001 + cpd00012 <=> (2) cpd00009 + (2) cpd00067;cpd00001 + cpd00012 <=> (2) cpd00009;;3.6.1.1;Anaplerotic Reactions|Oxidative phosphorylation|Phosphate and sulfur|Anaplerotic reactions|Central Metabolism|Miscellaneous|Transport|Other|Oxidative Phosphorylation;;=>;-5.391;1.22474;R00004;rxn00001|rxn10590;rbs_267|INORGPYROPHOSPHAT-RXN|R00004|PPA|PPA_1|rbs_266|rxn10590|PPAm|IPP1;All:rbs_267|All:INORGPYROPHOSPHAT-RXN|All:R00004|All:PPA|All:PPA_1|All:rbs_266|All:rxn10590|All:PPAm|iAbaylyiv4:INORGPYROPHOSPHAT-RXN|iAF1260:PPA|iAF692:PPA_1|iAF692:PPA|iAG612:rbs_266|iAG612:rbs_267|iIN800:IPP1|iIT341:PPA|iJN746:PPA|iJR904:PPA|iMEO21:PPA|iMM904:PPA|iMM904:PPAm|iND750:PPA|iND750:PPAm|iNJ661:PPA|iPS189:PPA|iSB619:PPA|iSO783:PPA|iYO844:PPA
rxn00002;Urea-1-carboxylate amidohydrolase|allophanate hydrolase;cpd00001 + (3) cpd00067 + cpd00742 <=> (2) cpd00011 + (2) cpd00013;cpd00001 + cpd00742 <=> (2) cpd00011 + (2) cpd00013;cpd00742;3.5.1.54;Urea cycle and metabolism of amino groups|Atrazine degradation|Nitrogen Metabolism|Urea degradation|rn00220|rn00791;00220|00791;=>;-9.623;1.77593;R00005;rxn00002;R00005|ALPHNH|ALLOPHANATE-HYDROLASE-RXN|DUR1_2;All:R00005|All:ALPHNH|All:ALLOPHANATE-HYDROLASE-RXN|iAbaylyiv4:ALLOPHANATE-HYDROLASE-RXN|iIN800:DUR1_2|iMM904:ALPHNH|iND750:ALPHNH
rxn00003;2-Acetolactate pyruvate-lyase (carboxylating)|(S)-2-Acetolactate pyruvate-lyase (carboxylating)|acetolactate synthase|acetolactate synthase, mitochondrial|acetolactate synthase (Also catalyzes ACHBS)|2-Acetolactate pyruvate-lyase (carboxylating)|acetolactate synthase large subunit|acetolactate synthase small subunit|acetolactate synthase large subunit |acetolactate synthase small subunit ;cpd00011 + cpd00668 <=> (2) cpd00020 + cpd00067;cpd00011 + cpd00668 <=> (2) cpd00020;cpd00668 <=> 2 cpd00020;2.2.1.6|4.1.3.18;Pantothenate and CoA biosynthesis|C5-Branched dibasic acid metabolism|Valine, Leucine, and Isoleucine Metabolism|Valine, leucine, and isoleucine metabolism|Amino acids and related molecules|Leucine and valine biosynthesis|Pantothenate and CoA Biosynthesis|rn00770|rn00660;00660|00770;<=;10.53;0.730313;R00006|R00226;rxn00003|rxn00169;rbs_19|rll_206|ACLSm|ACLS|R00226|rxn00169|rbs_20|ACETOLACTSYN-RXN|rll_16|R00006|rll_212|ILV2_2;All:rbs_19|All:rll_206|All:ACLSm|All:ACLS|All:R00226|All:rxn00169|All:rbs_20|All:ACETOLACTSYN-RXN|All:rll_16|All:R00006|All:rll_212|iAbaylyiv4:ACETOLACTSYN-RXN|iAF1260:ACLS|iAF692:ACLS|iAG612:rbs_20|iAG612:rbs_19|iAO358:rll_16|iAO358:rll_212|iAO358:rll_206|iIN800:ILV2_2|iJN746:ACLS|iJR904:ACLS|iMEO21:ACLS|iMM904:ACLSm|iND750:ACLSm|iNJ661:ACLS|iSB619:ACLS|iSO783:ACLS|iYO844:ACLS
rxn00004;4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase|4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase;cpd02570 <=> (2) cpd00020;cpd02570 <=> (2) cpd00020;cpd02570 <=> 2 cpd00020;4.1.3.17;PATH: rn00362  Benzoate degradation via hydroxylation|Benzoate degradation via hydroxylation|C5-Branched dibasic acid metabolism|rn00362|rn00660;00362|00660;<=>;3.17;0.436072;R00008;rxn00004|rxn00005;R00008|rxn00005;All:R00008|All:rxn00005
rxn00006;hydrogen-peroxide:hydrogen-peroxide oxidoreductase|catalase|catalase A, peroxisomal|hydrogen-peroxide:hydrogen-peroxide oxidoreductase|CAT;(2) cpd00025 <=> (2) cpd00001 + cpd00007;(2) cpd00025 <=> (2) cpd00001 + cpd00007;2 cpd00025 <=> cpd00007;1.11.1.6;Unassigned|Tyrosine, Tryptophan, and Phenylalanine Metabolism|Other functions|Other|Redox Metabolism|Radicals detoxification;;=>;-45.3543;1.5;R00009;rxn00006;CATAL-RXN|CAT|R00009|CATp|CTT1|CTA1;All:CATAL-RXN|All:CAT|All:R00009|All:CATp|iAbaylyiv4:CATAL-RXN|iAF1260:CAT|iAF692:CAT|iIN800:CTT1|iIN800:CTA1|iIT341:CAT|iJN746:CAT|iJR904:CAT|iMEO21:CAT|iMM904:CATp|iMM904:CAT|iND750:CATp|iND750:CAT|iNJ661:CAT|iSB619:CAT|iSO783:CAT|iYO844:CAT
rxn00007;alpha,alpha-Trehalose glucohydrolase|alpha,alpha-trehalase|alpha,alpha-trehalase (periplasm)|alpha,alpha-trehalase, vacuolar;cpd00001 + cpd00794 <=> (2) cpd00027;cpd00001 + cpd00794 <=> (2) cpd00027;cpd00794 <=> 2 cpd00027;3.2.1.28;Starch and sucrose metabolism|Alternate Carbon Metabolism|rn00500;00500;<=>;-3.113;0.692797;R00010;rxn00007;TREHe|TREH|TREHv|R00010|TREHpp|NTH2|ATH1|NTH1;All:TREHe|All:TREH|All:TREHv|All:R00010|All:TREHpp|iAF1260:TREHpp|iAF1260:TREH|iIN800:NTH2|iIN800:ATH1|iIN800:NTH1|iJR904:TREHe|iJR904:TREH|iMM904:TREHv|iMM904:TREH|iND750:TREHv|iND750:TREH
rxn00008;Mn(II):hydrogen-peroxide oxidoreductase;(2) cpd00001 <=> cpd00025 + (2) cpd00067;(2) cpd00001 <=> cpd00025; <=> cpd00025;1.11.1.13;;;<=;62.264;1.11803;R00011;rxn00008|rxn11414;R00011|rxn11414;All:R00011|All:rxn11414
rxn00009;GTP:GTP guanylyltransferase;(2) cpd00038 <=> cpd00012 + cpd00925;(2) cpd00038 <=> cpd00012 + cpd00925;2 cpd00038 <=> cpd00925;2.7.7.45;;;<=>;1.07;0.746895;R00012;rxn00009;R00012;All:R00012
rxn00010;Glyoxylate carboxy-lyase (dimerizing)|glyoxalate carboligase;(2) cpd00040 + cpd00067 <=> cpd00011 + cpd00843;(2) cpd00040 <=> cpd00011 + cpd00843;2 cpd00040 <=> cpd00843;4.1.1.47;Glyoxylate and dicarboxylate metabolism|Glyoxylate Metabolism|Carbohydrates and related molecules|Glycolate metabolism|rn00630;00630;=>;-10.57;0.680043;R00013;rxn00010;R00013|GLXCL|GLXCBL;All:R00013|All:GLXCL|All:GLXCBL|iAF1260:GLXCL|iJN746:GLXCL|iJR904:GLXCL|iYO844:GLXCBL
rxn00011;pyruvate:thiamin diphosphate acetaldehydetransferase|(decarboxylating)| (decarboxylating);cpd00011 + cpd03049 <=> cpd00020 + cpd00056 + cpd00067;cpd00011 + cpd03049 <=> cpd00020 + cpd00056;cpd03049 <=> cpd00020 + cpd00056;1.2.4.1|2.2.1.6|4.1.1.1;Glycolysis / Gluconeogenesis|Alanine and aspartate metabolism|Valine, leucine and isoleucine biosynthesis|Pyruvate metabolism|Butanoate metabolism|rn00010|rn00252|rn00290|rn00620|rn00650;00010|00020|00290|00620|00650;<=;6.87;0.764453;R00014;rxn00011;R00014;All:R00014
